Date,Open,High,Low,Close
02/26/19,1665.89,1670.77,1662.81,1663.56
02/25/19,1665.30,1674.54,1664.92,1671.75
02/22/19,1645.33,1661.09,1644.51,1659.20
02/21/19,1646.96,1651.80,1642.49,1647.32
02/20/19,1639.16,1647.21,1636.12,1645.38
02/18/19,1644.99,1647.74,1635.71,1635.71
02/15/19,1651.10,1652.06,1634.87,1636.94
02/14/19,1658.41,1659.52,1650.13,1652.64
02/13/19,1649.09,1657.12,1645.84,1655.73
02/12/19,1637.48,1645.63,1635.54,1642.49
02/11/19,1644.75,1647.49,1632.82,1638.00
02/08/19,1647.63,1657.58,1637.58,1651.68
02/07/19,1659.94,1667.01,1649.50,1653.11
02/06/19,1655.14,1663.49,1653.00,1658.71
02/05/19,1653.53,1654.98,1645.57,1653.09
02/04/19,1655.42,1659.26,1652.14,1653.62
02/01/19,1644.61,1655.34,1642.24,1651.40
01/31/19,1640.34,1649.85,1639.90,1641.73
01/30/19,1626.55,1632.83,1622.59,1632.60
01/29/19,1623.00,1625.36,1616.45,1624.05
01/28/19,1627.71,1634.70,1622.58,1625.03
01/25/19,1625.59,1628.62,1617.78,1623.62
01/24/19,1619.12,1628.21,1614.56,1620.53
01/23/19,1601.72,1620.51,1600.35,1617.38
01/22/19,1587.82,1601.80,1586.19,1601.77
01/21/19,1586.72,1595.16,1585.24,1588.38
01/18/19,1585.07,1588.75,1577.86,1583.77
01/17/19,1578.14,1586.88,1576.84,1580.30
01/16/19,1581.37,1582.44,1565.48,1577.41
01/15/19,1587.17,1590.15,1574.37,1577.00
01/14/19,1592.58,1594.06,1580.56,1582.57
01/11/19,1591.21,1597.18,1586.93,1597.04
01/10/19,1590.07,1599.10,1579.20,1587.63
01/09/19,1604.21,1609.39,1587.53,1590.50
01/08/19,1594.07,1597.35,1587.47,1594.00
01/07/19,1584.74,1596.97,1582.69,1592.72
01/04/19,1559.63,1575.13,1550.22,1575.13
01/03/19,1571.48,1578.17,1556.77,1560.03
01/02/19,1567.09,1575.22,1563.66,1565.94
12/28/18,1550.87,1564.02,1549.70,1563.88
12/27/18,1582.22,1585.77,1546.62,1548.37
12/26/18,1556.95,1562.00,1548.99,1556.93
12/25/18,1576.40,1576.75,1555.00,1556.65
12/24/18,1589.69,1599.89,1588.56,1591.29
12/21/18,1588.99,1601.58,1586.35,1595.33
12/20/18,1594.86,1599.20,1583.11,1596.10
12/19/18,1582.58,1601.17,1578.64,1601.12
12/18/18,1594.10,1595.32,1580.58,1583.19
12/17/18,1612.87,1615.63,1593.37,1601.48
12/14/18,1613.23,1620.60,1602.42,1609.45
12/13/18,1638.96,1642.20,1612.91,1614.99
12/12/18,1642.42,1644.90,1632.34,1634.88
12/11/18,1646.87,1647.88,1633.11,1633.62
12/07/18,1656.11,1659.45,1648.33,1649.99
12/06/18,1653.09,1658.64,1649.23,1653.73
12/04/18,1674.53,1677.99,1669.10,1672.32
12/03/18,1662.15,1675.43,1660.05,1672.61
11/30/18,1640.70,1647.89,1633.44,1641.80
11/29/18,1646.62,1650.69,1635.19,1636.49
11/28/18,1636.59,1644.27,1635.37,1640.63
11/27/18,1630.08,1636.89,1627.54,1634.27
11/26/18,1621.99,1631.74,1616.97,1630.77
11/23/18,1607.11,1623.01,1600.63,1622.10
11/22/18,1616.95,1622.01,1603.00,1604.40
11/21/18,1603.73,1622.14,1598.57,1617.33
11/20/18,1631.81,1632.23,1610.18,1612.03
11/19/18,1634.10,1640.53,1630.96,1636.48
11/16/18,1640.47,1646.46,1632.94,1635.00
11/15/18,1656.60,1658.02,1638.67,1638.83
11/14/18,1655.09,1660.74,1646.24,1652.30
11/13/18,1645.42,1664.51,1642.83,1659.78
11/12/18,1672.85,1673.42,1654.80,1654.85
11/09/18,1675.84,1677.51,1664.85,1668.52
11/08/18,1685.29,1688.90,1681.25,1681.73
11/07/18,1673.65,1676.09,1656.51,1675.33
11/06/18,1677.45,1684.44,1669.22,1669.33
11/05/18,1670.46,1673.01,1666.50,1670.58
11/02/18,1675.09,1687.76,1672.09,1681.84
11/01/18,1672.14,1674.87,1660.11,1667.55
10/31/18,1651.07,1669.27,1649.27,1669.09
10/30/18,1638.83,1645.31,1633.73,1638.51
10/29/18,1632.26,1645.98,1630.73,1636.88
10/26/18,1637.48,1639.67,1625.33,1628.96
10/25/18,1605.91,1645.91,1596.40,1644.33
10/24/18,1641.61,1647.90,1618.82,1623.37
